X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
119,-334,-119,-117,-336,117
246,-681,-246,-238,-687,238
377,-1033,-377,-358,-1047,358
508,-1377,-508,-474,-1401,474
641,-1719,-641,-588,-1757,588
776,-2059,-776,-699,-2114,699
913,-2398,-913,-808,-2472,808
1052,-2735,-1052,-915,-2832,915
1197,-3077,-1197,-1022,-3200,1022
1340,-3410,-1340,-1125,-3562,1125
1486,-3742,-1486,-1225,-3926,1225
1633,-4072,-1633,-1323,-4291,1323
1783,-4400,-1783,-1419,-4657,1419
1934,-4726,-1934,-1513,-5024,1513
2091,-5056,-2091,-1606,-5400,1606
2247,-5379,-2247,-1695,-5769,1695
2404,-5699,-2404,-1781,-6139,1781
2564,-6017,-2564,-1866,-6511,1866
2725,-6334,-2725,-1948,-6884,1948
